Date : 2022-05-02 20:25:26
Directory : /home/leno/Desktop/me/storeNShare-mobile
Total : 86 files,  20746 codes, 28 comments, 553 blanks, all 21327 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          4 |     17,823 |         16 |          3 |     17,842 |
| JavaScript React |         45 |      2,194 |          6 |        388 |      2,588 |
| JavaScript       |         37 |        729 |          6 |        162 |        897 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         86 |     20,746 |         28 |        553 |     21,327 |
| .expo-shared                                                                                                                        |          1 |          4 |          0 |          1 |          5 |
| src                                                                                                                                 |         80 |      2,892 |         12 |        539 |      3,443 |
| src/api                                                                                                                             |          5 |        135 |          0 |         33 |        168 |
| src/components                                                                                                                      |         13 |        291 |          0 |         56 |        347 |
| src/components/dialog                                                                                                               |          1 |         64 |          0 |          9 |         73 |
| src/components/loading-indicator                                                                                                    |          1 |         24 |          0 |          4 |         28 |
| src/components/spacer                                                                                                               |          1 |         33 |          0 |          9 |         42 |
| src/components/utilities                                                                                                            |         10 |        170 |          0 |         34 |        204 |
| src/context                                                                                                                         |          1 |         38 |          0 |          8 |         46 |
| src/features                                                                                                                        |         40 |      1,973 |          6 |        357 |      2,336 |
| src/features/auth                                                                                                                   |          6 |        256 |          0 |         46 |        302 |
| src/features/auth/login                                                                                                             |          3 |        115 |          0 |         22 |        137 |
| src/features/auth/login/components                                                                                                  |          2 |         60 |          0 |         10 |         70 |
| src/features/auth/login/screens                                                                                                     |          1 |         55 |          0 |         12 |         67 |
| src/features/auth/register                                                                                                          |          3 |        141 |          0 |         24 |        165 |
| src/features/auth/register/components                                                                                               |          2 |         84 |          0 |         11 |         95 |
| src/features/auth/register/screens                                                                                                  |          1 |         57 |          0 |         13 |         70 |
| src/features/generic-components                                                                                                     |          2 |         75 |          1 |         13 |         89 |
| src/features/home                                                                                                                   |         32 |      1,642 |          5 |        298 |      1,945 |
| src/features/home/main                                                                                                              |          1 |          7 |          0 |          2 |          9 |
| src/features/home/main/screens                                                                                                      |          1 |          7 |          0 |          2 |          9 |
| src/features/home/settings                                                                                                          |          1 |         34 |          0 |         12 |         46 |
| src/features/home/settings/screens                                                                                                  |          1 |         34 |          0 |         12 |         46 |
| src/features/home/user                                                                                                              |         30 |      1,601 |          5 |        284 |      1,890 |
| src/features/home/user/components                                                                                                   |         19 |        926 |          2 |        137 |      1,065 |
| src/features/home/user/components/cluster-components                                                                                |          2 |         69 |          0 |         14 |         83 |
| src/features/home/user/components/collection-components                                                                             |          5 |        282 |          0 |         41 |        323 |
| src/features/home/user/components/item-components                                                                                   |          5 |        292 |          0 |         35 |        327 |
| src/features/home/user/components/list-components                                                                                   |          5 |        246 |          2 |         36 |        284 |
